date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:46:06	120/120	---M-Z	-1	error ('Open%20error%20when%20decompressing%20(can%20not%20create%20temporary%20file%20/tmp0.z)')	text/html	etag:W/%225e1886d5-87%22	https://www.a2oj.com/robots.txt		(from )
13:46:06	1110/1110	---M-Z	200	added ('OK')	text/html	etag:W/%225e1886d5-456%22	https://www.a2oj.com/	www.a2oj.com/index.html	(from )
13:46:06	1150/1150	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%225e1886d5-47e%22	https://www.a2oj.com/favicon.ico	www.a2oj.com/favicon.ico	(from https://www.a2oj.com/)
13:46:08	20288/20288	---M--	200	added ('OK')	image/png	etag:%225e1886d5-4f40%22	https://www.a2oj.com/bye.png	www.a2oj.com/bye.png	(from https://www.a2oj.com/)
13:46:08	4271/4271	---M-Z	200	added ('OK')	text/html	etag:W/%225e1886d5-10af%22	https://www.a2oj.com/Ladders.html	www.a2oj.com/Ladders.html	(from https://www.a2oj.com/)
13:46:09	14746/14746	---M-Z	200	added ('OK')	text/html	etag:W/%225e1886d5-399a%22	https://www.a2oj.com/Categories.html	www.a2oj.com/Categories.html	(from https://www.a2oj.com/)
13:46:10	16898/16898	---M-Z	200	added ('OK')	text/html	etag:W/%225e1886d5-4202%22	https://www.a2oj.com/Ladder11.html	www.a2oj.com/Ladder11.html	(from https://www.a2oj.com/Ladders.html)
13:46:11	16890/16890	---M-Z	200	added ('OK')	text/html	etag:W/%225e1886d5-41fa%22	https://www.a2oj.com/Ladder12.html	www.a2oj.com/Ladder12.html	(from https://www.a2oj.com/Ladders.html)
13:46:12	16826/16826	---M-Z	200	added ('OK')	text/html	etag:W/%225e1886d5-41ba%22	https://www.a2oj.com/Ladder13.html	www.a2oj.com/Ladder13.html	(from https://www.a2oj.com/Ladders.html)
13:46:13	16998/16998	---M-Z	200	added ('OK')	text/html	etag:W/%225e1886d5-4266%22	https://www.a2oj.com/Ladder14.html	www.a2oj.com/Ladder14.html	(from https://www.a2oj.com/Ladders.html)
13:46:14	16948/16948	---M-Z	200	added ('OK')	text/html	etag:W/%225e1886d5-4234%22	https://www.a2oj.com/Ladder15.html	www.a2oj.com/Ladder15.html	(from https://www.a2oj.com/Ladders.html)
13:46:15	17122/17122	---M-Z	200	added ('OK')	text/html	etag:W/%225e1886d5-42e2%22	https://www.a2oj.com/Ladder16.html	www.a2oj.com/Ladder16.html	(from https://www.a2oj.com/Ladders.html)
13:46:16	17119/17119	---M-Z	200	added ('OK')	text/html	etag:W/%225e1886d5-42df%22	https://www.a2oj.com/Ladder17.html	www.a2oj.com/Ladder17.html	(from https://www.a2oj.com/Ladders.html)
13:46:17	17109/17109	---M-Z	200	added ('OK')	text/html	etag:W/%225e1886d5-42d5%22	https://www.a2oj.com/Ladder18.html	www.a2oj.com/Ladder18.html	(from https://www.a2oj.com/Ladders.html)
13:46:18	17215/17215	---M-Z	200	added ('OK')	text/html	etag:W/%225e1886d5-433f%22	https://www.a2oj.com/Ladder19.html	www.a2oj.com/Ladder19.html	(from https://www.a2oj.com/Ladders.html)
13:46:19	17166/17166	---M-Z	200	added ('OK')	text/html	etag:W/%225e1886d5-430e%22	https://www.a2oj.com/Ladder20.html	www.a2oj.com/Ladder20.html	(from https://www.a2oj.com/Ladders.html)
13:46:20	17052/17052	---M-Z	200	added ('OK')	text/html	etag:W/%225e1886d5-429c%22	https://www.a2oj.com/Ladder21.html	www.a2oj.com/Ladder21.html	(from https://www.a2oj.com/Ladders.html)
13:46:21	32874/32874	---M-Z	200	added ('OK')	text/html	etag:W/%225e1886d5-806a%22	https://www.a2oj.com/Ladder22.html	www.a2oj.com/Ladder22.html	(from https://www.a2oj.com/Ladders.html)
13:46:22	32952/32952	---M-Z	200	added ('OK')	text/html	etag:W/%225e1886d5-80b8%22	https://www.a2oj.com/Ladder23.html	www.a2oj.com/Ladder23.html	(from https://www.a2oj.com/Ladders.html)
13:46:23	32856/32856	---M-Z	200	added ('OK')	text/html	etag:W/%225e1886d5-8058%22	https://www.a2oj.com/Ladder24.html	www.a2oj.com/Ladder24.html	(from https://www.a2oj.com/Ladders.html)
13:46:24	32867/32867	---M-Z	200	added ('OK')	text/html	etag:W/%225e1886d5-8063%22	https://www.a2oj.com/Ladder25.html	www.a2oj.com/Ladder25.html	(from https://www.a2oj.com/Ladders.html)
13:46:25	32740/32740	---M-Z	200	added ('OK')	text/html	etag:W/%225e1886d5-7fe4%22	https://www.a2oj.com/Ladder26.html	www.a2oj.com/Ladder26.html	(from https://www.a2oj.com/Ladders.html)
13:46:26	32820/32820	---M-Z	200	added ('OK')	text/html	etag:W/%225e1886d5-8034%22	https://www.a2oj.com/Ladder27.html	www.a2oj.com/Ladder27.html	(from https://www.a2oj.com/Ladders.html)
13:46:27	32882/32882	---M-Z	200	added ('OK')	text/html	etag:W/%225e1886d5-8072%22	https://www.a2oj.com/Ladder28.html	www.a2oj.com/Ladder28.html	(from https://www.a2oj.com/Ladders.html)
13:46:28	32994/32994	---M-Z	200	added ('OK')	text/html	etag:W/%225e1886d5-80e2%22	https://www.a2oj.com/Ladder29.html	www.a2oj.com/Ladder29.html	(from https://www.a2oj.com/Ladders.html)
13:46:29	33048/33048	---M-Z	200	added ('OK')	text/html	etag:W/%225e1886d5-8118%22	https://www.a2oj.com/Ladder30.html	www.a2oj.com/Ladder30.html	(from https://www.a2oj.com/Ladders.html)
13:46:30	32925/32925	---M-Z	200	added ('OK')	text/html	etag:W/%225e1886d5-809d%22	https://www.a2oj.com/Ladder31.html	www.a2oj.com/Ladder31.html	(from https://www.a2oj.com/Ladders.html)
13:46:31	33251/33251	---M-Z	200	added ('OK')	text/html	etag:W/%225e1886d5-81e3%22	https://www.a2oj.com/Ladder32.html	www.a2oj.com/Ladder32.html	(from https://www.a2oj.com/Ladders.html)
13:46:32	16971/16971	---M-Z	200	added ('OK')	text/html	etag:W/%225e1886d5-424b%22	https://www.a2oj.com/Ladder4.html	www.a2oj.com/Ladder4.html	(from https://www.a2oj.com/Ladders.html)
13:46:33	17190/17190	---M-Z	200	added ('OK')	text/html	etag:W/%225e1886d5-4326%22	https://www.a2oj.com/Ladder5.html	www.a2oj.com/Ladder5.html	(from https://www.a2oj.com/Ladders.html)
13:46:34	17046/17046	---M-Z	200	added ('OK')	text/html	etag:W/%225e1886d5-4296%22	https://www.a2oj.com/Ladder6.html	www.a2oj.com/Ladder6.html	(from https://www.a2oj.com/Ladders.html)
